h/anno,%Consumi
0,0.0368893353536236
1,0.0368893353536236
2,0.0368893353536236
3,0.0368893353536236
4,0.0368893353536236
5,0.0368893353536236
6,0.0368893353536236
7,0.0377084264245902
8,0.0412149290938595
9,0.0412149290938595
10,0.0412149290938595
11,0.0412149290938595
12,0.0412149290938595
13,0.0412149290938595
14,0.0412149290938595
15,0.0412149290938595
16,0.0412149290938595
17,0.0412149290938595
18,0.0412149290938595
19,0.0412149290938595
20,0.0377084264245902
21,0.0377084264245902
22,0.0377084264245902
23,0.0377084264245902
